Date,Region,Road_Type,Vehicle_Type,Vehicle_Count,Avg_Speed_kmph,Traffic_Density,Weather,Temperature_C,Humidity_%,Air_Quality_Index,Accidents_Reported,Signal_Delay_sec,Peak_Hour,Congestion_Level
01-01-2025,North Zone,Highway,Bike,2586,25,0.8,Sunny,38,68,154,0,292,Yes,High
02-01-2025,South Zone,Rural,Bike,4819,21,0.8,Sunny,36,64,184,4,284,Yes,High
03-01-2025,East Zone,Rural,Truck,4958,61,0.33,Sunny,40,65,165,3,230,Yes,High
04-01-2025,South Zone,Urban,Truck,1206,57,0.53,Rainy,35,48,153,3,68,Yes,Low
05-01-2025,Central Zone,Highway,Car,2466,33,0.37,Foggy,33,51,148,3,257,Yes,Medium
06-01-2025,East Zone,Urban,Bike,3801,47,0.58,Foggy,35,47,160,0,292,No,High
07-01-2025,West Zone,Urban,Bus,1721,52,0.6,Sunny,28,68,133,3,107,No,Low
08-01-2025,North Zone,Urban,Bike,2898,64,0.69,Foggy,23,83,162,3,298,No,Medium
09-01-2025,West Zone,Rural,Car,3646,59,0.33,Rainy,39,46,138,3,110,Yes,High
10-01-2025,South Zone,Rural,Bus,1025,20,0.51,Cloudy,40,88,141,4,221,No,High
11-01-2025,South Zone,Highway,Car,4970,64,0.61,Rainy,39,45,61,4,291,Yes,High
12-01-2025,East Zone,Urban,Bus,2512,68,0.42,Foggy,38,42,120,2,141,Yes,Medium
13-01-2025,North Zone,Rural,Truck,3509,44,0.41,Foggy,40,82,151,0,79,No,High
14-01-2025,Central Zone,Highway,Bike,1370,32,0.76,Cloudy,23,84,183,4,218,Yes,Low
15-01-2025,North Zone,Rural,Car,2455,60,0.4,Sunny,35,66,85,5,97,No,Medium
16-01-2025,West Zone,Rural,Bike,3593,51,0.51,Foggy,35,77,180,3,221,No,High
17-01-2025,North Zone,Rural,Bus,2315,31,0.5,Foggy,39,51,123,3,124,Yes,Medium
18-01-2025,West Zone,Rural,Bus,2238,22,0.9,Cloudy,20,75,199,0,292,No,High
19-01-2025,East Zone,Rural,Truck,3503,54,0.73,Sunny,38,82,161,3,75,Yes,High
20-01-2025,East Zone,Rural,Bus,1814,54,0.65,Foggy,20,78,165,2,244,No,Medium
21-01-2025,South Zone,Highway,Car,2962,77,0.84,Sunny,39,66,184,4,265,No,Medium
22-01-2025,Central Zone,Highway,Truck,3393,26,0.42,Foggy,27,53,82,5,268,Yes,High
23-01-2025,West Zone,Highway,Bike,2109,24,0.3,Rainy,27,83,169,2,213,No,High
24-01-2025,North Zone,Highway,Truck,2191,32,0.82,Foggy,30,54,112,0,189,Yes,Medium
25-01-2025,West Zone,Highway,Bus,4438,24,0.56,Cloudy,33,75,170,1,71,No,High
26-01-2025,West Zone,Rural,Truck,918,48,0.89,Foggy,20,71,90,2,195,No,Low
27-01-2025,North Zone,Rural,Car,2013,63,0.98,Cloudy,35,51,135,3,203,Yes,Medium
28-01-2025,West Zone,Urban,Truck,2247,37,0.53,Rainy,37,45,152,2,175,Yes,Medium
29-01-2025,South Zone,Rural,Bike,1911,68,0.75,Rainy,21,52,77,2,239,Yes,Medium
30-01-2025,Central Zone,Highway,Bike,3581,21,0.53,Sunny,23,87,55,3,32,No,High
31-01-2025,North Zone,Rural,Truck,3834,51,0.66,Cloudy,36,60,149,3,111,Yes,High
01-02-2025,Central Zone,Highway,Truck,1210,58,0.49,Sunny,30,82,106,1,35,No,Low
02-02-2025,West Zone,Urban,Bike,4597,80,0.56,Sunny,40,50,186,0,192,Yes,High
03-02-2025,South Zone,Highway,Truck,1829,64,0.33,Rainy,38,90,160,3,225,Yes,Medium
04-02-2025,West Zone,Urban,Car,3894,47,0.39,Foggy,25,60,58,4,300,No,High
05-02-2025,West Zone,Rural,Bus,1163,77,0.56,Rainy,31,88,57,1,221,Yes,Low
06-02-2025,West Zone,Urban,Bike,3078,30,0.58,Cloudy,26,68,88,2,103,Yes,Medium
07-02-2025,Central Zone,Highway,Bus,3469,49,0.93,Foggy,38,60,156,4,173,No,Medium
08-02-2025,West Zone,Highway,Bike,4449,54,0.87,Sunny,23,85,141,3,283,Yes,High
09-02-2025,Central Zone,Urban,Truck,2544,65,0.66,Sunny,27,79,125,1,271,No,Medium
10-02-2025,West Zone,Rural,Bus,4854,63,0.4,Rainy,28,87,178,2,212,Yes,High
11-02-2025,Central Zone,Highway,Bus,3838,35,0.54,Sunny,22,73,57,0,83,No,High
12-02-2025,West Zone,Highway,Car,3487,47,0.89,Rainy,24,78,193,4,181,No,Medium
13-02-2025,West Zone,Rural,Car,2561,77,0.45,Cloudy,21,65,51,5,42,No,Medium
14-02-2025,East Zone,Highway,Car,3354,78,0.77,Sunny,37,50,167,0,164,Yes,Medium
15-02-2025,West Zone,Rural,Truck,3232,28,0.83,Rainy,20,84,123,3,195,No,High
16-02-2025,South Zone,Urban,Truck,4883,21,0.72,Rainy,30,73,85,5,31,No,High
17-02-2025,East Zone,Urban,Bike,2813,35,0.95,Cloudy,22,58,124,1,164,No,Medium
18-02-2025,South Zone,Rural,Bus,3300,61,0.58,Sunny,34,69,107,5,127,Yes,Medium
19-02-2025,West Zone,Urban,Bus,4437,29,0.69,Foggy,24,69,123,4,81,No,High
20-02-2025,West Zone,Urban,Truck,2683,71,0.36,Rainy,31,85,136,4,109,No,Medium
21-02-2025,South Zone,Rural,Bus,856,69,0.96,Cloudy,29,41,110,1,240,No,Low
22-02-2025,East Zone,Urban,Car,4139,33,0.89,Sunny,38,76,161,0,140,Yes,High
23-02-2025,South Zone,Highway,Bike,2182,34,0.37,Cloudy,31,83,100,4,128,Yes,Medium
24-02-2025,West Zone,Highway,Car,3923,69,0.33,Sunny,36,55,127,5,288,No,High
25-02-2025,Central Zone,Rural,Bike,1428,35,0.7,Cloudy,37,79,156,2,108,Yes,Low
26-02-2025,West Zone,Urban,Car,3544,73,0.77,Cloudy,24,87,159,5,260,No,High
27-02-2025,South Zone,Urban,Car,4482,64,0.36,Rainy,37,64,187,4,255,Yes,High
28-02-2025,East Zone,Urban,Bike,4745,34,0.43,Sunny,39,64,192,4,254,No,High
01-03-2025,North Zone,Urban,Bus,1003,63,0.89,Rainy,30,82,114,0,127,No,Low
02-03-2025,South Zone,Highway,Car,2185,62,0.68,Foggy,38,57,160,4,175,Yes,Medium
03-03-2025,South Zone,Highway,Car,4088,29,0.98,Rainy,20,60,125,4,227,Yes,High
04-03-2025,Central Zone,Highway,Bike,3115,31,0.38,Foggy,24,81,153,1,104,Yes,Medium
