record_id,location,date,time_slot,vehicle_count,avg_speed_kmph,traffic_density,road_type,weather,congestion_level
1,Thanjavur_Main_Road,2026-02-01,Morning,80,55,Low,Urban,Clear,Low
2,Gandhiji_Road,2026-02-02,Afternoon,95,48,Low,Highway,Cloudy,Low
3,Medical_College_Road,2026-02-03,Evening,110,41,Medium,Urban,Rainy,Medium
4,Kumbakonam_Bypass,2026-02-04,Night,125,34,Medium,Highway,Clear,Medium
5,Bus_Stand_Road,2026-02-05,Morning,140,27,High,Urban,Cloudy,High
6,New_Collectorate_Road,2026-02-06,Afternoon,155,55,High,Highway,Rainy,High
7,Vallam_Road,2026-02-07,Evening,170,48,Low,Urban,Clear,Low
8,Old_Bus_Route,2026-02-08,Night,80,41,Low,Highway,Cloudy,Low
9,Airport_Access_Road,2026-02-09,Morning,95,34,Medium,Urban,Rainy,Medium
10,Market_Road,2026-02-10,Afternoon,110,27,Medium,Highway,Clear,Medium
11,Temple_Corridor,2026-02-11,Evening,125,55,High,Urban,Cloudy,High
12,Ring_Road_East,2026-02-12,Night,140,48,High,Highway,Rainy,High
13,Industrial_Link_Road,2026-02-13,Morning,155,41,Low,Urban,Clear,Low
14,Thanjavur_Main_Road,2026-02-14,Afternoon,170,34,Low,Highway,Cloudy,Low
15,Gandhiji_Road,2026-02-15,Evening,80,27,Medium,Urban,Rainy,Medium
16,Medical_College_Road,2026-02-16,Night,95,55,Medium,Highway,Clear,Medium
17,Kumbakonam_Bypass,2026-02-17,Morning,110,48,High,Urban,Cloudy,High
18,Bus_Stand_Road,2026-02-18,Afternoon,125,41,High,Highway,Rainy,High
19,New_Collectorate_Road,2026-02-19,Evening,140,34,Low,Urban,Clear,Low
20,Vallam_Road,2026-02-20,Night,155,27,Low,Highway,Cloudy,Low
21,Old_Bus_Route,2026-02-21,Morning,170,55,Medium,Urban,Rainy,Medium
22,Airport_Access_Road,2026-02-22,Afternoon,80,48,Medium,Highway,Clear,Medium
23,Market_Road,2026-02-23,Evening,95,41,High,Urban,Cloudy,High
24,Temple_Corridor,2026-02-24,Night,110,34,High,Highway,Rainy,High
25,Ring_Road_East,2026-02-25,Morning,125,27,Low,Urban,Clear,Low
26,Industrial_Link_Road,2026-02-26,Afternoon,140,55,Low,Highway,Cloudy,Low
27,Thanjavur_Main_Road,2026-02-27,Evening,155,48,Medium,Urban,Rainy,Medium
28,Gandhiji_Road,2026-02-28,Night,170,41,Medium,Highway,Clear,Medium
29,Medical_College_Road,2026-03-01,Morning,80,34,High,Urban,Cloudy,High
30,Kumbakonam_Bypass,2026-03-02,Afternoon,95,27,High,Highway,Rainy,High
31,Bus_Stand_Road,2026-03-03,Evening,110,55,Low,Urban,Clear,Low
32,New_Collectorate_Road,2026-03-04,Night,125,48,Low,Highway,Cloudy,Low
33,Vallam_Road,2026-03-05,Morning,140,41,Medium,Urban,Rainy,Medium
34,Old_Bus_Route,2026-03-06,Afternoon,155,34,Medium,Highway,Clear,Medium
35,Airport_Access_Road,2026-03-07,Evening,170,27,High,Urban,Cloudy,High
36,Market_Road,2026-03-08,Night,80,55,High,Highway,Rainy,High
37,Temple_Corridor,2026-03-09,Morning,95,48,Low,Urban,Clear,Low
38,Ring_Road_East,2026-03-10,Afternoon,110,41,Low,Highway,Cloudy,Low
39,Industrial_Link_Road,2026-03-11,Evening,125,34,Medium,Urban,Rainy,Medium
40,Thanjavur_Main_Road,2026-03-12,Night,140,27,Medium,Highway,Clear,Medium
41,Gandhiji_Road,2026-03-13,Morning,155,55,High,Urban,Cloudy,High
42,Medical_College_Road,2026-03-14,Afternoon,170,48,High,Highway,Rainy,High
43,Kumbakonam_Bypass,2026-03-15,Evening,80,41,Low,Urban,Clear,Low
44,Bus_Stand_Road,2026-03-16,Night,95,34,Low,Highway,Cloudy,Low
45,New_Collectorate_Road,2026-03-17,Morning,110,27,Medium,Urban,Rainy,Medium
46,Vallam_Road,2026-03-18,Afternoon,125,55,Medium,Highway,Clear,Medium
47,Old_Bus_Route,2026-03-19,Evening,140,48,High,Urban,Cloudy,High
48,Airport_Access_Road,2026-03-20,Night,155,41,High,Highway,Rainy,High
49,Market_Road,2026-03-21,Morning,170,34,Low,Urban,Clear,Low
50,Temple_Corridor,2026-03-22,Afternoon,80,27,Low,Highway,Cloudy,Low
